geoName,Realtor,year
New York,27,2008-03-31
North Carolina,29,2008-03-31
North Dakota,37,2008-03-31
Ohio,31,2008-03-31
Oklahoma,49,2008-03-31
Oregon,10,2008-03-31
Pennsylvania,35,2008-03-31
Rhode Island,8,2008-03-31
South Carolina,48,2008-03-31
South Dakota,0,2008-03-31
Tennessee,32,2008-03-31
Texas,32,2008-03-31
Utah,30,2008-03-31
Vermont,38,2008-03-31
Virginia,26,2008-03-31
Washington,24,2008-03-31
West Virginia,17,2008-03-31
Wisconsin,23,2008-03-31
Wyoming,23,2008-03-31
Alabama,43,2008-04-30
Alaska,38,2008-04-30
Arizona,49,2008-04-30
Arkansas,55,2008-04-30
California,35,2008-04-30
Colorado,35,2008-04-30
Connecticut,78,2008-04-30
Delaware,100,2008-04-30
District of Columbia,55,2008-04-30
Florida,57,2008-04-30
Georgia,48,2008-04-30
Hawaii,19,2008-04-30
Idaho,64,2008-04-30
Illinois,46,2008-04-30
Indiana,42,2008-04-30
Iowa,21,2008-04-30
Kansas,34,2008-04-30
Kentucky,32,2008-04-30
Louisiana,30,2008-04-30
Maine,32,2008-04-30
Maryland,43,2008-04-30
Massachusetts,34,2008-04-30
Michigan,34,2008-04-30
Minnesota,43,2008-04-30
Mississippi,30,2008-04-30
Missouri,32,2008-04-30
Montana,78,2008-04-30
Nebraska,17,2008-04-30
Nevada,25,2008-04-30
New Hampshire,32,2008-04-30
New Jersey,45,2008-04-30
New Mexico,35,2008-04-30
New York,31,2008-04-30
North Carolina,61,2008-04-30
North Dakota,25,2008-04-30
Ohio,55,2008-04-30
Oklahoma,58,2008-04-30
Oregon,24,2008-04-30
Pennsylvania,59,2008-04-30
Rhode Island,43,2008-04-30
South Carolina,46,2008-04-30
South Dakota,20,2008-04-30
Tennessee,53,2008-04-30
Texas,45,2008-04-30
Utah,22,2008-04-30
Vermont,49,2008-04-30
Virginia,25,2008-04-30
Washington,27,2008-04-30
West Virginia,22,2008-04-30
Wisconsin,32,2008-04-30
Wyoming,29,2008-04-30
Alabama,28,2008-05-31
Alaska,0,2008-05-31
Arizona,24,2008-05-31
Arkansas,25,2008-05-31
California,27,2008-05-31
Colorado,37,2008-05-31
Connecticut,54,2008-05-31
Delaware,100,2008-05-31
District of Columbia,21,2008-05-31
Florida,34,2008-05-31
Georgia,36,2008-05-31
Hawaii,58,2008-05-31
Idaho,23,2008-05-31
Illinois,43,2008-05-31
Indiana,25,2008-05-31
Iowa,7,2008-05-31
Kansas,21,2008-05-31
Kentucky,34,2008-05-31
Louisiana,35,2008-05-31
Maine,29,2008-05-31
Maryland,49,2008-05-31
Massachusetts,40,2008-05-31
Michigan,32,2008-05-31
Minnesota,32,2008-05-31
Mississippi,44,2008-05-31
Missouri,23,2008-05-31
Montana,17,2008-05-31
Nebraska,39,2008-05-31
Nevada,31,2008-05-31
New Hampshire,56,2008-05-31
New Jersey,50,2008-05-31
New Mexico,21,2008-05-31
New York,22,2008-05-31
North Carolina,40,2008-05-31
North Dakota,23,2008-05-31
Ohio,34,2008-05-31
Oklahoma,40,2008-05-31
Oregon,24,2008-05-31
Pennsylvania,34,2008-05-31
Rhode Island,29,2008-05-31
South Carolina,28,2008-05-31
South Dakota,19,2008-05-31
Tennessee,28,2008-05-31
Texas,27,2008-05-31
Utah,45,2008-05-31
Vermont,67,2008-05-31
Virginia,26,2008-05-31
Washington,19,2008-05-31
West Virginia,21,2008-05-31
Wisconsin,42,2008-05-31
Wyoming,27,2008-05-31
Alabama,44,2008-06-30
Alaska,40,2008-06-30
Arizona,66,2008-06-30
Arkansas,100,2008-06-30
California,39,2008-06-30
Colorado,47,2008-06-30
Connecticut,84,2008-06-30
Delaware,67,2008-06-30
District of Columbia,46,2008-06-30
Florida,50,2008-06-30
Georgia,56,2008-06-30
Hawaii,23,2008-06-30
Idaho,15,2008-06-30
Illinois,55,2008-06-30
Indiana,24,2008-06-30
Iowa,63,2008-06-30
Kansas,35,2008-06-30
Kentucky,32,2008-06-30
Louisiana,64,2008-06-30
Maine,40,2008-06-30
Maryland,77,2008-06-30
Massachusetts,37,2008-06-30
Michigan,45,2008-06-30
Minnesota,36,2008-06-30
Mississippi,23,2008-06-30
Missouri,71,2008-06-30
Montana,0,2008-06-30
Nebraska,75,2008-06-30
Nevada,64,2008-06-30
New Hampshire,53,2008-06-30
New Jersey,65,2008-06-30
New Mexico,82,2008-06-30
New York,43,2008-06-30
North Carolina,54,2008-06-30
North Dakota,32,2008-06-30
Ohio,63,2008-06-30
Oklahoma,46,2008-06-30
Oregon,23,2008-06-30
Pennsylvania,71,2008-06-30
Rhode Island,40,2008-06-30
South Carolina,55,2008-06-30
South Dakota,26,2008-06-30
Tennessee,61,2008-06-30
Texas,49,2008-06-30
Utah,7,2008-06-30
Vermont,93,2008-06-30
Virginia,31,2008-06-30
Washington,30,2008-06-30
West Virginia,0,2008-06-30
Wisconsin,63,2008-06-30
Wyoming,37,2008-06-30
Alabama,72,2008-07-31
Alaska,63,2008-07-31
Arizona,58,2008-07-31
Arkansas,24,2008-07-31
California,44,2008-07-31
Colorado,47,2008-07-31
Connecticut,70,2008-07-31
Delaware,72,2008-07-31
District of Columbia,40,2008-07-31
Florida,61,2008-07-31
Georgia,47,2008-07-31
Hawaii,61,2008-07-31
Idaho,84,2008-07-31
Illinois,60,2008-07-31
Indiana,25,2008-07-31
Iowa,19,2008-07-31
Kansas,60,2008-07-31
Kentucky,74,2008-07-31
Louisiana,6,2008-07-31
Maine,84,2008-07-31
Maryland,62,2008-07-31
Massachusetts,30,2008-07-31
Michigan,53,2008-07-31
Minnesota,51,2008-07-31
Mississippi,24,2008-07-31
Missouri,53,2008-07-31
Montana,0,2008-07-31
Nebraska,34,2008-07-31
Nevada,46,2008-07-31
New Hampshire,28,2008-07-31
New Jersey,53,2008-07-31
New Mexico,45,2008-07-31
New York,32,2008-07-31
North Carolina,55,2008-07-31
North Dakota,70,2008-07-31
Ohio,63,2008-07-31
Oklahoma,56,2008-07-31
Oregon,33,2008-07-31
Pennsylvania,51,2008-07-31
Rhode Island,100,2008-07-31
South Carolina,25,2008-07-31
South Dakota,27,2008-07-31
Tennessee,31,2008-07-31
Texas,50,2008-07-31
Utah,45,2008-07-31
Vermont,34,2008-07-31
Virginia,39,2008-07-31
Washington,28,2008-07-31
West Virginia,0,2008-07-31
Wisconsin,46,2008-07-31
Wyoming,40,2008-07-31
Alabama,50,2008-08-31
Alaska,19,2008-08-31
Arizona,36,2008-08-31
Arkansas,44,2008-08-31
California,34,2008-08-31
Colorado,33,2008-08-31
Connecticut,44,2008-08-31
Delaware,62,2008-08-31
District of Columbia,31,2008-08-31
Florida,57,2008-08-31
Georgia,27,2008-08-31
Hawaii,12,2008-08-31
Idaho,47,2008-08-31
Illinois,45,2008-08-31
Indiana,22,2008-08-31
Iowa,17,2008-08-31
Kansas,21,2008-08-31
Kentucky,25,2008-08-31
Louisiana,13,2008-08-31
Maine,26,2008-08-31
Maryland,51,2008-08-31
Massachusetts,21,2008-08-31
Michigan,33,2008-08-31
Minnesota,39,2008-08-31
Mississippi,23,2008-08-31
Missouri,48,2008-08-31
Montana,71,2008-08-31
Nebraska,11,2008-08-31
Nevada,37,2008-08-31
New Hampshire,26,2008-08-31
New Jersey,50,2008-08-31
New Mexico,42,2008-08-31
New York,24,2008-08-31
North Carolina,30,2008-08-31
North Dakota,30,2008-08-31
Ohio,46,2008-08-31
Oklahoma,100,2008-08-31
Oregon,12,2008-08-31
Pennsylvania,41,2008-08-31
Rhode Island,12,2008-08-31
South Carolina,24,2008-08-31
South Dakota,0,2008-08-31
Tennessee,29,2008-08-31
Texas,39,2008-08-31
Utah,21,2008-08-31
Vermont,0,2008-08-31
Virginia,30,2008-08-31
Washington,19,2008-08-31
West Virginia,0,2008-08-31
Wisconsin,26,2008-08-31
Wyoming,0,2008-08-31
Alabama,27,2008-09-30
Alaska,17,2008-09-30
Arizona,41,2008-09-30
Arkansas,28,2008-09-30
California,26,2008-09-30
Colorado,38,2008-09-30
Connecticut,17,2008-09-30
Delaware,0,2008-09-30
District of Columbia,33,2008-09-30
Florida,47,2008-09-30
Georgia,37,2008-09-30
Hawaii,31,2008-09-30
Idaho,26,2008-09-30
Illinois,34,2008-09-30
Indiana,15,2008-09-30
Iowa,28,2008-09-30
Kansas,18,2008-09-30
Kentucky,22,2008-09-30
Louisiana,31,2008-09-30
Maine,44,2008-09-30
Maryland,21,2008-09-30
Massachusetts,21,2008-09-30
Michigan,32,2008-09-30
Minnesota,30,2008-09-30
Mississippi,60,2008-09-30
Missouri,23,2008-09-30
Montana,100,2008-09-30
Nebraska,9,2008-09-30
Nevada,53,2008-09-30
New Hampshire,43,2008-09-30
New Jersey,41,2008-09-30
New Mexico,60,2008-09-30
New York,25,2008-09-30
North Carolina,50,2008-09-30
North Dakota,0,2008-09-30
Ohio,33,2008-09-30
Oklahoma,47,2008-09-30
Oregon,23,2008-09-30
Pennsylvania,38,2008-09-30
Rhode Island,43,2008-09-30
South Carolina,26,2008-09-30
South Dakota,39,2008-09-30
Tennessee,39,2008-09-30
Texas,36,2008-09-30
Utah,39,2008-09-30
Vermont,24,2008-09-30
Virginia,20,2008-09-30
Washington,29,2008-09-30
West Virginia,0,2008-09-30
Wisconsin,25,2008-09-30
Wyoming,63,2008-09-30
Alabama,30,2008-10-31
Alaska,95,2008-10-31
Arizona,67,2008-10-31
Arkansas,70,2008-10-31
California,35,2008-10-31
Colorado,63,2008-10-31
Connecticut,70,2008-10-31
Delaware,0,2008-10-31
District of Columbia,46,2008-10-31
Florida,66,2008-10-31
Georgia,45,2008-10-31
Hawaii,76,2008-10-31
Idaho,0,2008-10-31
Illinois,43,2008-10-31
Indiana,36,2008-10-31
Iowa,39,2008-10-31
Kansas,22,2008-10-31
Kentucky,29,2008-10-31
Louisiana,19,2008-10-31
Maine,100,2008-10-31
Maryland,25,2008-10-31
Massachusetts,37,2008-10-31
Michigan,66,2008-10-31
Minnesota,53,2008-10-31
Mississippi,19,2008-10-31
Missouri,58,2008-10-31
Montana,37,2008-10-31
Nebraska,17,2008-10-31
Nevada,72,2008-10-31
New Hampshire,40,2008-10-31
New Jersey,58,2008-10-31
New Mexico,91,2008-10-31
New York,40,2008-10-31
North Carolina,69,2008-10-31
North Dakota,0,2008-10-31
Ohio,41,2008-10-31
Oklahoma,76,2008-10-31
Oregon,12,2008-10-31
Pennsylvania,66,2008-10-31
Rhode Island,40,2008-10-31
South Carolina,69,2008-10-31
South Dakota,0,2008-10-31
Tennessee,39,2008-10-31
Texas,52,2008-10-31
Utah,44,2008-10-31
Vermont,94,2008-10-31
Virginia,38,2008-10-31
Washington,24,2008-10-31
West Virginia,0,2008-10-31
Wisconsin,36,2008-10-31
Wyoming,57,2008-10-31
Alabama,12,2008-11-30
Alaska,38,2008-11-30
Arizona,43,2008-11-30
Arkansas,21,2008-11-30
California,27,2008-11-30
Colorado,33,2008-11-30
Connecticut,55,2008-11-30
Delaware,30,2008-11-30
District of Columbia,43,2008-11-30
Florida,51,2008-11-30
Georgia,42,2008-11-30
Hawaii,22,2008-11-30
Idaho,0,2008-11-30
Illinois,30,2008-11-30
Indiana,4,2008-11-30
Iowa,32,2008-11-30
Kansas,32,2008-11-30
Kentucky,29,2008-11-30
Louisiana,28,2008-11-30
Maine,24,2008-11-30
Maryland,44,2008-11-30
Massachusetts,14,2008-11-30
Michigan,21,2008-11-30
Minnesota,32,2008-11-30
Mississippi,34,2008-11-30
Missouri,21,2008-11-30
Montana,45,2008-11-30
Nebraska,20,2008-11-30
Nevada,14,2008-11-30
New Hampshire,38,2008-11-30
New Jersey,31,2008-11-30
New Mexico,27,2008-11-30
New York,19,2008-11-30
North Carolina,28,2008-11-30
North Dakota,0,2008-11-30
Ohio,26,2008-11-30
Oklahoma,38,2008-11-30
Oregon,15,2008-11-30
Pennsylvania,37,2008-11-30
Rhode Island,72,2008-11-30
South Carolina,61,2008-11-30
South Dakota,0,2008-11-30
Tennessee,15,2008-11-30
Texas,31,2008-11-30
Utah,20,2008-11-30
Vermont,0,2008-11-30
Virginia,22,2008-11-30
Washington,11,2008-11-30
West Virginia,25,2008-11-30
Wisconsin,12,2008-11-30
Wyoming,100,2008-11-30
Alabama,57,2008-12-31
Alaska,22,2008-12-31
Arizona,52,2008-12-31
Arkansas,64,2008-12-31
California,40,2008-12-31
Colorado,51,2008-12-31
Connecticut,74,2008-12-31
Delaware,74,2008-12-31
District of Columbia,56,2008-12-31
Florida,71,2008-12-31
Georgia,28,2008-12-31
Hawaii,69,2008-12-31
Idaho,72,2008-12-31
Illinois,46,2008-12-31
Indiana,47,2008-12-31
Iowa,40,2008-12-31
Kansas,46,2008-12-31
Kentucky,43,2008-12-31
Louisiana,34,2008-12-31
Maine,85,2008-12-31
Maryland,55,2008-12-31
Massachusetts,39,2008-12-31
Michigan,35,2008-12-31
Minnesota,28,2008-12-31
Mississippi,26,2008-12-31
Missouri,31,2008-12-31
Montana,28,2008-12-31
Nebraska,60,2008-12-31
Nevada,100,2008-12-31
New Hampshire,29,2008-12-31
New Jersey,74,2008-12-31
New Mexico,16,2008-12-31
New York,37,2008-12-31
North Carolina,53,2008-12-31
North Dakota,34,2008-12-31
Ohio,42,2008-12-31
Oklahoma,70,2008-12-31
Oregon,31,2008-12-31
Pennsylvania,47,2008-12-31
Rhode Island,45,2008-12-31
South Carolina,43,2008-12-31
South Dakota,54,2008-12-31
Tennessee,23,2008-12-31
Texas,64,2008-12-31
Utah,23,2008-12-31
Vermont,34,2008-12-31
Virginia,39,2008-12-31
Washington,35,2008-12-31
West Virginia,30,2008-12-31
Wisconsin,51,2008-12-31
Wyoming,81,2008-12-31
Alabama,62,2009-01-31
Alaska,22,2009-01-31
Arizona,66,2009-01-31
Arkansas,25,2009-01-31
California,37,2009-01-31
Colorado,64,2009-01-31
Connecticut,63,2009-01-31
Delaware,34,2009-01-31
District of Columbia,71,2009-01-31
Florida,78,2009-01-31
Georgia,38,2009-01-31
Hawaii,14,2009-01-31
Idaho,35,2009-01-31
Illinois,48,2009-01-31
Indiana,19,2009-01-31
Iowa,10,2009-01-31
Kansas,45,2009-01-31
Kentucky,48,2009-01-31
Louisiana,61,2009-01-31
Maine,100,2009-01-31
Maryland,56,2009-01-31
Massachusetts,24,2009-01-31
Michigan,47,2009-01-31
Minnesota,37,2009-01-31
Mississippi,39,2009-01-31
Missouri,41,2009-01-31
Montana,55,2009-01-31
Nebraska,46,2009-01-31
Nevada,73,2009-01-31
New Hampshire,14,2009-01-31
New Jersey,53,2009-01-31
New Mexico,49,2009-01-31
New York,29,2009-01-31
North Carolina,55,2009-01-31
North Dakota,0,2009-01-31
Ohio,48,2009-01-31
Oklahoma,30,2009-01-31
Oregon,18,2009-01-31
Pennsylvania,61,2009-01-31
Rhode Island,71,2009-01-31
South Carolina,90,2009-01-31
South Dakota,0,2009-01-31
Tennessee,58,2009-01-31
Texas,58,2009-01-31
Utah,23,2009-01-31
Vermont,0,2009-01-31
Virginia,36,2009-01-31
Washington,20,2009-01-31
West Virginia,29,2009-01-31
Wisconsin,28,2009-01-31
Wyoming,0,2009-01-31
Alabama,22,2009-02-28
Alaska,11,2009-02-28
Arizona,26,2009-02-28
Arkansas,32,2009-02-28
California,24,2009-02-28
Colorado,35,2009-02-28
Connecticut,51,2009-02-28
Delaware,35,2009-02-28
District of Columbia,37,2009-02-28
Florida,53,2009-02-28
Georgia,28,2009-02-28
Hawaii,35,2009-02-28
Idaho,36,2009-02-28
Illinois,27,2009-02-28
Indiana,10,2009-02-28
Iowa,36,2009-02-28
Kansas,12,2009-02-28
Kentucky,18,2009-02-28
Louisiana,7,2009-02-28
Maine,51,2009-02-28
Maryland,25,2009-02-28
Massachusetts,27,2009-02-28
Michigan,39,2009-02-28
Minnesota,17,2009-02-28
Mississippi,14,2009-02-28
Missouri,28,2009-02-28
Montana,41,2009-02-28
Nebraska,24,2009-02-28
Nevada,46,2009-02-28
New Hampshire,22,2009-02-28
New Jersey,41,2009-02-28
New Mexico,43,2009-02-28
New York,22,2009-02-28
North Carolina,33,2009-02-28
North Dakota,0,2009-02-28
Ohio,27,2009-02-28
Oklahoma,32,2009-02-28
Oregon,28,2009-02-28
Pennsylvania,35,2009-02-28
Rhode Island,22,2009-02-28
South Carolina,32,2009-02-28
South Dakota,0,2009-02-28
Tennessee,16,2009-02-28
Texas,29,2009-02-28
Utah,23,2009-02-28
Vermont,100,2009-02-28
Virginia,19,2009-02-28
Washington,19,2009-02-28
West Virginia,45,2009-02-28
Wisconsin,18,2009-02-28
Wyoming,20,2009-02-28
Alabama,41,2009-03-31
Alaska,18,2009-03-31
Arizona,56,2009-03-31
Arkansas,30,2009-03-31
California,33,2009-03-31
Colorado,72,2009-03-31
Connecticut,54,2009-03-31
Delaware,89,2009-03-31
District of Columbia,50,2009-03-31
Florida,67,2009-03-31
Georgia,38,2009-03-31
Hawaii,34,2009-03-31
Idaho,75,2009-03-31
Illinois,49,2009-03-31
Indiana,47,2009-03-31
Iowa,17,2009-03-31
Kansas,31,2009-03-31
Kentucky,52,2009-03-31
Louisiana,34,2009-03-31
Maine,25,2009-03-31
Maryland,44,2009-03-31
Massachusetts,38,2009-03-31
Michigan,57,2009-03-31
Minnesota,51,2009-03-31
Mississippi,44,2009-03-31
Missouri,38,2009-03-31
Montana,24,2009-03-31
Nebraska,39,2009-03-31
Nevada,76,2009-03-31
New Hampshire,0,2009-03-31
New Jersey,54,2009-03-31
New Mexico,42,2009-03-31
New York,37,2009-03-31
North Carolina,53,2009-03-31
North Dakota,26,2009-03-31
Ohio,48,2009-03-31
Oklahoma,51,2009-03-31
Oregon,31,2009-03-31
Pennsylvania,64,2009-03-31
Rhode Island,60,2009-03-31
South Carolina,48,2009-03-31
South Dakota,0,2009-03-31
Tennessee,53,2009-03-31
Texas,52,2009-03-31
Utah,6,2009-03-31
Vermont,54,2009-03-31
Virginia,29,2009-03-31
Washington,19,2009-03-31
West Virginia,24,2009-03-31
Wisconsin,55,2009-03-31
Wyoming,100,2009-03-31
Alabama,32,2009-04-30
Alaska,17,2009-04-30
Arizona,68,2009-04-30
Arkansas,37,2009-04-30
California,31,2009-04-30
Colorado,43,2009-04-30
Connecticut,60,2009-04-30
Delaware,74,2009-04-30
District of Columbia,44,2009-04-30
Florida,67,2009-04-30
Georgia,41,2009-04-30
Hawaii,30,2009-04-30
Idaho,54,2009-04-30
Illinois,45,2009-04-30
Indiana,15,2009-04-30
Iowa,42,2009-04-30
Kansas,52,2009-04-30
Kentucky,46,2009-04-30
Louisiana,58,2009-04-30
Maine,54,2009-04-30
Maryland,54,2009-04-30
Massachusetts,27,2009-04-30
Michigan,56,2009-04-30
Minnesota,35,2009-04-30
Mississippi,41,2009-04-30
Missouri,44,2009-04-30
Montana,0,2009-04-30
Nebraska,27,2009-04-30
Nevada,54,2009-04-30
New Hampshire,32,2009-04-30
New Jersey,45,2009-04-30
New Mexico,64,2009-04-30
New York,27,2009-04-30
North Carolina,54,2009-04-30
North Dakota,26,2009-04-30
Ohio,40,2009-04-30
Oklahoma,47,2009-04-30
Oregon,45,2009-04-30
Pennsylvania,44,2009-04-30
Rhode Island,23,2009-04-30
South Carolina,54,2009-04-30
South Dakota,60,2009-04-30
Tennessee,42,2009-04-30
Texas,42,2009-04-30
Utah,49,2009-04-30
Vermont,100,2009-04-30
Virginia,21,2009-04-30
Washington,28,2009-04-30
West Virginia,45,2009-04-30
Wisconsin,25,2009-04-30
Wyoming,0,2009-04-30
Alabama,28,2009-05-31
Alaska,54,2009-05-31
Arizona,46,2009-05-31
Arkansas,10,2009-05-31
California,30,2009-05-31
Colorado,45,2009-05-31
Connecticut,55,2009-05-31
Delaware,29,2009-05-31
District of Columbia,45,2009-05-31
Florida,48,2009-05-31
Georgia,35,2009-05-31
Hawaii,11,2009-05-31
Idaho,29,2009-05-31
Illinois,46,2009-05-31
Indiana,25,2009-05-31
Iowa,47,2009-05-31
Kansas,13,2009-05-31
Kentucky,62,2009-05-31
Louisiana,21,2009-05-31
Maine,46,2009-05-31
Maryland,46,2009-05-31
Massachusetts,40,2009-05-31
Michigan,28,2009-05-31
Minnesota,42,2009-05-31
Mississippi,54,2009-05-31
Missouri,46,2009-05-31
Montana,100,2009-05-31
Nebraska,39,2009-05-31
Nevada,55,2009-05-31
New Hampshire,22,2009-05-31
New Jersey,43,2009-05-31
New Mexico,41,2009-05-31
New York,32,2009-05-31
North Carolina,70,2009-05-31
North Dakota,30,2009-05-31
Ohio,39,2009-05-31
Oklahoma,37,2009-05-31
Oregon,25,2009-05-31
Pennsylvania,61,2009-05-31
Rhode Island,37,2009-05-31
South Carolina,35,2009-05-31
South Dakota,87,2009-05-31
Tennessee,19,2009-05-31
Texas,50,2009-05-31
Utah,38,2009-05-31
Vermont,28,2009-05-31
Virginia,26,2009-05-31
Washington,31,2009-05-31
West Virginia,81,2009-05-31
Wisconsin,24,2009-05-31
Wyoming,0,2009-05-31
Alabama,31,2009-06-30
Alaska,16,2009-06-30
Arizona,61,2009-06-30
Arkansas,64,2009-06-30
California,26,2009-06-30
Colorado,43,2009-06-30
Connecticut,43,2009-06-30
Delaware,54,2009-06-30
District of Columbia,28,2009-06-30
Florida,50,2009-06-30
Georgia,28,2009-06-30
Hawaii,19,2009-06-30
Idaho,29,2009-06-30
Illinois,43,2009-06-30
Indiana,36,2009-06-30
Iowa,18,2009-06-30
Kansas,41,2009-06-30
Kentucky,10,2009-06-30
Louisiana,18,2009-06-30
Maine,41,2009-06-30
Maryland,31,2009-06-30
Massachusetts,30,2009-06-30
Michigan,73,2009-06-30
Minnesota,43,2009-06-30
Mississippi,38,2009-06-30
Missouri,41,2009-06-30
Montana,45,2009-06-30
Nebraska,28,2009-06-30
Nevada,56,2009-06-30
New Hampshire,21,2009-06-30
New Jersey,41,2009-06-30
New Mexico,36,2009-06-30
New York,25,2009-06-30
North Carolina,34,2009-06-30
North Dakota,0,2009-06-30
Ohio,48,2009-06-30
Oklahoma,45,2009-06-30
Oregon,17,2009-06-30
Pennsylvania,49,2009-06-30
Rhode Island,12,2009-06-30
South Carolina,27,2009-06-30
South Dakota,59,2009-06-30
Tennessee,50,2009-06-30
Texas,41,2009-06-30
Utah,6,2009-06-30
Vermont,100,2009-06-30
Virginia,22,2009-06-30
Washington,26,2009-06-30
West Virginia,49,2009-06-30
Wisconsin,27,2009-06-30
Wyoming,65,2009-06-30
Alabama,22,2009-07-31
Alaska,47,2009-07-31
Arizona,45,2009-07-31
Arkansas,33,2009-07-31
California,17,2009-07-31
Colorado,29,2009-07-31
Connecticut,39,2009-07-31
Delaware,100,2009-07-31
District of Columbia,25,2009-07-31
Florida,39,2009-07-31
Georgia,24,2009-07-31
Hawaii,7,2009-07-31
Idaho,44,2009-07-31
Illinois,35,2009-07-31
Indiana,5,2009-07-31
Iowa,31,2009-07-31
Kansas,13,2009-07-31
Kentucky,25,2009-07-31
Louisiana,27,2009-07-31
Maine,24,2009-07-31
Maryland,29,2009-07-31
Massachusetts,25,2009-07-31
Michigan,39,2009-07-31
Minnesota,23,2009-07-31
Mississippi,27,2009-07-31
Missouri,23,2009-07-31
Montana,0,2009-07-31
Nebraska,13,2009-07-31
Nevada,25,2009-07-31
New Hampshire,23,2009-07-31
New Jersey,37,2009-07-31
New Mexico,36,2009-07-31
New York,17,2009-07-31
North Carolina,28,2009-07-31
North Dakota,62,2009-07-31
Ohio,24,2009-07-31
Oklahoma,37,2009-07-31
Oregon,35,2009-07-31
Pennsylvania,28,2009-07-31
Rhode Island,0,2009-07-31
South Carolina,57,2009-07-31
South Dakota,43,2009-07-31
Tennessee,21,2009-07-31
Texas,28,2009-07-31
Utah,35,2009-07-31
Vermont,0,2009-07-31
Virginia,16,2009-07-31
Washington,22,2009-07-31
West Virginia,52,2009-07-31
Wisconsin,14,2009-07-31
Wyoming,0,2009-07-31
Alabama,14,2009-08-31
Alaska,0,2009-08-31
Arizona,46,2009-08-31
Arkansas,64,2009-08-31
California,43,2009-08-31
Colorado,49,2009-08-31
Connecticut,81,2009-08-31
Delaware,38,2009-08-31
District of Columbia,41,2009-08-31
Florida,83,2009-08-31
Georgia,54,2009-08-31
Hawaii,29,2009-08-31
Idaho,22,2009-08-31
Illinois,81,2009-08-31
Indiana,39,2009-08-31
Iowa,34,2009-08-31
Kansas,66,2009-08-31
Kentucky,27,2009-08-31
Louisiana,40,2009-08-31
Maine,62,2009-08-31
Maryland,35,2009-08-31
Massachusetts,37,2009-08-31
Michigan,55,2009-08-31
Minnesota,74,2009-08-31
Mississippi,40,2009-08-31
Missouri,43,2009-08-31
Montana,100,2009-08-31
Nebraska,26,2009-08-31
Nevada,68,2009-08-31
New Hampshire,30,2009-08-31
New Jersey,67,2009-08-31
New Mexico,54,2009-08-31
New York,44,2009-08-31
North Carolina,35,2009-08-31
North Dakota,75,2009-08-31
Ohio,52,2009-08-31
Oklahoma,57,2009-08-31
Oregon,35,2009-08-31
Pennsylvania,54,2009-08-31
Rhode Island,32,2009-08-31
South Carolina,23,2009-08-31
South Dakota,27,2009-08-31
Tennessee,47,2009-08-31
Texas,39,2009-08-31
Utah,25,2009-08-31
Vermont,68,2009-08-31
Virginia,32,2009-08-31
Washington,51,2009-08-31
West Virginia,0,2009-08-31
Wisconsin,24,2009-08-31
Wyoming,0,2009-08-31
Alabama,11,2009-09-30
Alaska,48,2009-09-30
Arizona,28,2009-09-30
Arkansas,19,2009-09-30
California,18,2009-09-30
Colorado,19,2009-09-30
Connecticut,24,2009-09-30
Delaware,75,2009-09-30
District of Columbia,28,2009-09-30
Florida,27,2009-09-30
Georgia,24,2009-09-30
Hawaii,0,2009-09-30
Idaho,11,2009-09-30
Illinois,22,2009-09-30
Indiana,23,2009-09-30
Iowa,16,2009-09-30
Kansas,16,2009-09-30
Kentucky,34,2009-09-30
Louisiana,33,2009-09-30
Maine,15,2009-09-30
Maryland,17,2009-09-30
Massachusetts,15,2009-09-30
Michigan,21,2009-09-30
Minnesota,25,2009-09-30
Mississippi,34,2009-09-30
Missouri,24,2009-09-30
Montana,100,2009-09-30
Nebraska,13,2009-09-30
Nevada,26,2009-09-30
New Hampshire,29,2009-09-30
New Jersey,26,2009-09-30
New Mexico,27,2009-09-30
New York,15,2009-09-30
North Carolina,29,2009-09-30
North Dakota,35,2009-09-30
Ohio,21,2009-09-30
Oklahoma,53,2009-09-30
Oregon,20,2009-09-30
Pennsylvania,23,2009-09-30
Rhode Island,16,2009-09-30
South Carolina,27,2009-09-30
South Dakota,0,2009-09-30
Tennessee,38,2009-09-30
Texas,27,2009-09-30
Utah,47,2009-09-30
Vermont,0,2009-09-30
Virginia,11,2009-09-30
Washington,16,2009-09-30
West Virginia,31,2009-09-30
Wisconsin,23,2009-09-30
Wyoming,24,2009-09-30
Alabama,48,2009-10-31
Alaska,30,2009-10-31
Arizona,70,2009-10-31
Arkansas,17,2009-10-31
California,44,2009-10-31
Colorado,68,2009-10-31
Connecticut,96,2009-10-31
Delaware,100,2009-10-31
District of Columbia,54,2009-10-31
Florida,74,2009-10-31
Georgia,75,2009-10-31
Hawaii,54,2009-10-31
Idaho,84,2009-10-31
Illinois,54,2009-10-31
Indiana,55,2009-10-31
Iowa,15,2009-10-31
Kansas,21,2009-10-31
Kentucky,52,2009-10-31
Louisiana,34,2009-10-31
Maine,37,2009-10-31
Maryland,55,2009-10-31
Massachusetts,41,2009-10-31
Michigan,90,2009-10-31
Minnesota,38,2009-10-31
Mississippi,36,2009-10-31
Missouri,47,2009-10-31
Montana,87,2009-10-31
Nebraska,34,2009-10-31
Nevada,67,2009-10-31
New Hampshire,38,2009-10-31
New Jersey,58,2009-10-31
New Mexico,71,2009-10-31
New York,33,2009-10-31
