geoName,Real Estate Listings,year
Missouri,23,2008-05-31
Montana,100,2008-05-31
Nebraska,0,2008-05-31
Nevada,20,2008-05-31
New Hampshire,18,2008-05-31
New Jersey,11,2008-05-31
New Mexico,0,2008-05-31
New York,7,2008-05-31
North Carolina,19,2008-05-31
North Dakota,0,2008-05-31
Ohio,12,2008-05-31
Oklahoma,0,2008-05-31
Oregon,35,2008-05-31
Pennsylvania,14,2008-05-31
Rhode Island,18,2008-05-31
South Carolina,35,2008-05-31
South Dakota,0,2008-05-31
Tennessee,24,2008-05-31
Texas,13,2008-05-31
Utah,0,2008-05-31
Vermont,0,2008-05-31
Virginia,7,2008-05-31
Washington,5,2008-05-31
West Virginia,40,2008-05-31
Wisconsin,9,2008-05-31
Wyoming,0,2008-05-31
Alabama,97,2008-06-30
Alaska,0,2008-06-30
Arizona,10,2008-06-30
Arkansas,43,2008-06-30
California,25,2008-06-30
Colorado,48,2008-06-30
Connecticut,47,2008-06-30
Delaware,0,2008-06-30
District of Columbia,18,2008-06-30
Florida,11,2008-06-30
Georgia,39,2008-06-30
Hawaii,0,2008-06-30
Idaho,0,2008-06-30
Illinois,25,2008-06-30
Indiana,37,2008-06-30
Iowa,0,2008-06-30
Kansas,27,2008-06-30
Kentucky,25,2008-06-30
Louisiana,23,2008-06-30
Maine,52,2008-06-30
Maryland,34,2008-06-30
Massachusetts,13,2008-06-30
Michigan,26,2008-06-30
Minnesota,43,2008-06-30
Mississippi,46,2008-06-30
Missouri,55,2008-06-30
Montana,0,2008-06-30
Nebraska,42,2008-06-30
Nevada,55,2008-06-30
New Hampshire,0,2008-06-30
New Jersey,32,2008-06-30
New Mexico,54,2008-06-30
New York,29,2008-06-30
North Carolina,53,2008-06-30
North Dakota,0,2008-06-30
Ohio,27,2008-06-30
Oklahoma,52,2008-06-30
Oregon,30,2008-06-30
Pennsylvania,68,2008-06-30
Rhode Island,0,2008-06-30
South Carolina,24,2008-06-30
South Dakota,100,2008-06-30
Tennessee,48,2008-06-30
Texas,28,2008-06-30
Utah,54,2008-06-30
Vermont,0,2008-06-30
Virginia,24,2008-06-30
Washington,22,2008-06-30
West Virginia,0,2008-06-30
Wisconsin,26,2008-06-30
Wyoming,0,2008-06-30
Alabama,0,2008-07-31
Alaska,0,2008-07-31
Arizona,25,2008-07-31
Arkansas,0,2008-07-31
California,17,2008-07-31
Colorado,20,2008-07-31
Connecticut,0,2008-07-31
Delaware,0,2008-07-31
District of Columbia,10,2008-07-31
Florida,14,2008-07-31
Georgia,23,2008-07-31
Hawaii,24,2008-07-31
Idaho,65,2008-07-31
Illinois,24,2008-07-31
Indiana,20,2008-07-31
Iowa,0,2008-07-31
Kansas,29,2008-07-31
Kentucky,26,2008-07-31
Louisiana,12,2008-07-31
Maine,0,2008-07-31
Maryland,13,2008-07-31
Massachusetts,31,2008-07-31
Michigan,33,2008-07-31
Minnesota,17,2008-07-31
Mississippi,23,2008-07-31
Missouri,10,2008-07-31
Montana,100,2008-07-31
Nebraska,22,2008-07-31
Nevada,30,2008-07-31
New Hampshire,83,2008-07-31
New Jersey,8,2008-07-31
New Mexico,0,2008-07-31
New York,24,2008-07-31
North Carolina,24,2008-07-31
North Dakota,0,2008-07-31
Ohio,18,2008-07-31
Oklahoma,27,2008-07-31
Oregon,0,2008-07-31
Pennsylvania,33,2008-07-31
Rhode Island,0,2008-07-31
South Carolina,37,2008-07-31
South Dakota,0,2008-07-31
Tennessee,26,2008-07-31
Texas,15,2008-07-31
Utah,29,2008-07-31
Vermont,65,2008-07-31
Virginia,5,2008-07-31
Washington,31,2008-07-31
West Virginia,58,2008-07-31
Wisconsin,0,2008-07-31
Wyoming,0,2008-07-31
Alabama,13,2008-08-31
Alaska,0,2008-08-31
Arizona,27,2008-08-31
Arkansas,0,2008-08-31
California,15,2008-08-31
Colorado,30,2008-08-31
Connecticut,17,2008-08-31
Delaware,66,2008-08-31
District of Columbia,5,2008-08-31
Florida,21,2008-08-31
Georgia,22,2008-08-31
Hawaii,50,2008-08-31
Idaho,33,2008-08-31
Illinois,25,2008-08-31
Indiana,56,2008-08-31
Iowa,0,2008-08-31
Kansas,14,2008-08-31
Kentucky,53,2008-08-31
Louisiana,0,2008-08-31
Maine,0,2008-08-31
Maryland,32,2008-08-31
Massachusetts,24,2008-08-31
Michigan,9,2008-08-31
Minnesota,12,2008-08-31
Mississippi,0,2008-08-31
Missouri,20,2008-08-31
Montana,100,2008-08-31
Nebraska,45,2008-08-31
Nevada,31,2008-08-31
New Hampshire,55,2008-08-31
New Jersey,24,2008-08-31
New Mexico,30,2008-08-31
New York,26,2008-08-31
North Carolina,16,2008-08-31
North Dakota,64,2008-08-31
Ohio,15,2008-08-31
Oklahoma,28,2008-08-31
Oregon,33,2008-08-31
Pennsylvania,31,2008-08-31
Rhode Island,0,2008-08-31
South Carolina,50,2008-08-31
South Dakota,0,2008-08-31
Tennessee,17,2008-08-31
Texas,9,2008-08-31
Utah,29,2008-08-31
Vermont,0,2008-08-31
Virginia,16,2008-08-31
Washington,20,2008-08-31
West Virginia,54,2008-08-31
Wisconsin,14,2008-08-31
Wyoming,0,2008-08-31
Alabama,41,2008-09-30
Alaska,44,2008-09-30
Arizona,23,2008-09-30
Arkansas,24,2008-09-30
California,24,2008-09-30
Colorado,35,2008-09-30
Connecticut,26,2008-09-30
Delaware,68,2008-09-30
District of Columbia,42,2008-09-30
Florida,17,2008-09-30
Georgia,23,2008-09-30
Hawaii,0,2008-09-30
Idaho,100,2008-09-30
Illinois,34,2008-09-30
Indiana,19,2008-09-30
Iowa,36,2008-09-30
Kansas,60,2008-09-30
Kentucky,0,2008-09-30
Louisiana,66,2008-09-30
Maine,28,2008-09-30
Maryland,20,2008-09-30
Massachusetts,18,2008-09-30
Michigan,24,2008-09-30
Minnesota,12,2008-09-30
Mississippi,76,2008-09-30
Missouri,26,2008-09-30
Montana,51,2008-09-30
Nebraska,23,2008-09-30
Nevada,0,2008-09-30
New Hampshire,0,2008-09-30
New Jersey,12,2008-09-30
New Mexico,31,2008-09-30
New York,24,2008-09-30
North Carolina,25,2008-09-30
North Dakota,0,2008-09-30
Ohio,11,2008-09-30
Oklahoma,44,2008-09-30
Oregon,0,2008-09-30
Pennsylvania,20,2008-09-30
Rhode Island,0,2008-09-30
South Carolina,40,2008-09-30
South Dakota,0,2008-09-30
Tennessee,54,2008-09-30
Texas,17,2008-09-30
Utah,0,2008-09-30
Vermont,0,2008-09-30
Virginia,15,2008-09-30
Washington,16,2008-09-30
West Virginia,0,2008-09-30
Wisconsin,21,2008-09-30
Wyoming,80,2008-09-30
Alabama,27,2008-10-31
Alaska,43,2008-10-31
Arizona,28,2008-10-31
Arkansas,47,2008-10-31
California,17,2008-10-31
Colorado,20,2008-10-31
Connecticut,17,2008-10-31
Delaware,0,2008-10-31
District of Columbia,26,2008-10-31
Florida,15,2008-10-31
Georgia,13,2008-10-31
Hawaii,26,2008-10-31
Idaho,67,2008-10-31
Illinois,9,2008-10-31
Indiana,10,2008-10-31
Iowa,36,2008-10-31
Kansas,15,2008-10-31
Kentucky,53,2008-10-31
Louisiana,26,2008-10-31
Maine,0,2008-10-31
Maryland,33,2008-10-31
Massachusetts,32,2008-10-31
Michigan,28,2008-10-31
Minnesota,30,2008-10-31
Mississippi,0,2008-10-31
Missouri,10,2008-10-31
Montana,100,2008-10-31
Nebraska,0,2008-10-31
Nevada,0,2008-10-31
New Hampshire,0,2008-10-31
New Jersey,18,2008-10-31
New Mexico,31,2008-10-31
New York,18,2008-10-31
North Carolina,30,2008-10-31
North Dakota,0,2008-10-31
Ohio,11,2008-10-31
Oklahoma,0,2008-10-31
Oregon,25,2008-10-31
Pennsylvania,22,2008-10-31
Rhode Island,54,2008-10-31
South Carolina,40,2008-10-31
South Dakota,0,2008-10-31
Tennessee,44,2008-10-31
Texas,24,2008-10-31
Utah,15,2008-10-31
Vermont,0,2008-10-31
Virginia,19,2008-10-31
Washington,32,2008-10-31
West Virginia,0,2008-10-31
Wisconsin,14,2008-10-31
Wyoming,77,2008-10-31
Alabama,9,2008-11-30
Alaska,0,2008-11-30
Arizona,15,2008-11-30
Arkansas,31,2008-11-30
California,16,2008-11-30
Colorado,23,2008-11-30
Connecticut,33,2008-11-30
Delaware,0,2008-11-30
District of Columbia,11,2008-11-30
Florida,16,2008-11-30
Georgia,4,2008-11-30
Hawaii,0,2008-11-30
Idaho,45,2008-11-30
Illinois,8,2008-11-30
Indiana,13,2008-11-30
Iowa,12,2008-11-30
Kansas,19,2008-11-30
Kentucky,9,2008-11-30
Louisiana,8,2008-11-30
Maine,0,2008-11-30
Maryland,9,2008-11-30
Massachusetts,9,2008-11-30
Michigan,16,2008-11-30
Minnesota,24,2008-11-30
Mississippi,0,2008-11-30
Missouri,21,2008-11-30
Montana,34,2008-11-30
Nebraska,0,2008-11-30
Nevada,11,2008-11-30
New Hampshire,0,2008-11-30
New Jersey,20,2008-11-30
New Mexico,0,2008-11-30
New York,12,2008-11-30
North Carolina,22,2008-11-30
North Dakota,0,2008-11-30
Ohio,24,2008-11-30
Oklahoma,10,2008-11-30
Oregon,6,2008-11-30
Pennsylvania,13,2008-11-30
Rhode Island,0,2008-11-30
South Carolina,0,2008-11-30
South Dakota,0,2008-11-30
Tennessee,12,2008-11-30
Texas,19,2008-11-30
Utah,10,2008-11-30
Vermont,0,2008-11-30
Virginia,10,2008-11-30
Washington,11,2008-11-30
West Virginia,38,2008-11-30
Wisconsin,5,2008-11-30
Wyoming,100,2008-11-30
Alabama,11,2008-12-31
Alaska,33,2008-12-31
Arizona,23,2008-12-31
Arkansas,95,2008-12-31
California,26,2008-12-31
Colorado,48,2008-12-31
Connecticut,27,2008-12-31
Delaware,55,2008-12-31
District of Columbia,18,2008-12-31
Florida,20,2008-12-31
Georgia,20,2008-12-31
Hawaii,20,2008-12-31
Idaho,81,2008-12-31
Illinois,14,2008-12-31
Indiana,16,2008-12-31
Iowa,15,2008-12-31
Kansas,23,2008-12-31
Kentucky,21,2008-12-31
Louisiana,20,2008-12-31
Maine,21,2008-12-31
Maryland,22,2008-12-31
Massachusetts,43,2008-12-31
Michigan,37,2008-12-31
Minnesota,32,2008-12-31
Mississippi,20,2008-12-31
Missouri,25,2008-12-31
Montana,0,2008-12-31
Nebraska,72,2008-12-31
Nevada,12,2008-12-31
New Hampshire,22,2008-12-31
New Jersey,50,2008-12-31
New Mexico,49,2008-12-31
New York,28,2008-12-31
North Carolina,23,2008-12-31
North Dakota,0,2008-12-31
Ohio,26,2008-12-31
Oklahoma,34,2008-12-31
Oregon,20,2008-12-31
Pennsylvania,43,2008-12-31
Rhode Island,45,2008-12-31
South Carolina,22,2008-12-31
South Dakota,0,2008-12-31
Tennessee,14,2008-12-31
Texas,29,2008-12-31
Utah,23,2008-12-31
Vermont,100,2008-12-31
Virginia,16,2008-12-31
Washington,32,2008-12-31
West Virginia,45,2008-12-31
Wisconsin,22,2008-12-31
Wyoming,60,2008-12-31
Alabama,10,2009-01-31
Alaska,31,2009-01-31
Arizona,29,2009-01-31
Arkansas,0,2009-01-31
California,17,2009-01-31
Colorado,35,2009-01-31
Connecticut,57,2009-01-31
Delaware,0,2009-01-31
District of Columbia,26,2009-01-31
Florida,26,2009-01-31
Georgia,16,2009-01-31
Hawaii,19,2009-01-31
Idaho,100,2009-01-31
Illinois,15,2009-01-31
Indiana,13,2009-01-31
Iowa,13,2009-01-31
Kansas,11,2009-01-31
Kentucky,19,2009-01-31
Louisiana,29,2009-01-31
Maine,0,2009-01-31
Maryland,20,2009-01-31
Massachusetts,34,2009-01-31
Michigan,24,2009-01-31
Minnesota,22,2009-01-31
Mississippi,19,2009-01-31
Missouri,38,2009-01-31
Montana,0,2009-01-31
Nebraska,16,2009-01-31
Nevada,46,2009-01-31
New Hampshire,40,2009-01-31
New Jersey,25,2009-01-31
New Mexico,23,2009-01-31
New York,26,2009-01-31
North Carolina,21,2009-01-31
North Dakota,0,2009-01-31
Ohio,27,2009-01-31
Oklahoma,42,2009-01-31
Oregon,38,2009-01-31
Pennsylvania,33,2009-01-31
Rhode Island,40,2009-01-31
South Carolina,29,2009-01-31
South Dakota,36,2009-01-31
Tennessee,44,2009-01-31
Texas,19,2009-01-31
Utah,11,2009-01-31
Vermont,45,2009-01-31
Virginia,12,2009-01-31
Washington,13,2009-01-31
West Virginia,40,2009-01-31
Wisconsin,45,2009-01-31
Wyoming,56,2009-01-31
Alabama,51,2009-02-28
Alaska,52,2009-02-28
Arizona,28,2009-02-28
Arkansas,59,2009-02-28
California,32,2009-02-28
Colorado,60,2009-02-28
Connecticut,64,2009-02-28
Delaware,0,2009-02-28
District of Columbia,36,2009-02-28
Florida,43,2009-02-28
Georgia,56,2009-02-28
Hawaii,64,2009-02-28
Idaho,83,2009-02-28
Illinois,51,2009-02-28
Indiana,24,2009-02-28
Iowa,47,2009-02-28
Kansas,55,2009-02-28
Kentucky,16,2009-02-28
Louisiana,0,2009-02-28
Maine,100,2009-02-28
Maryland,50,2009-02-28
Massachusetts,27,2009-02-28
Michigan,91,2009-02-28
Minnesota,65,2009-02-28
Mississippi,32,2009-02-28
Missouri,58,2009-02-28
Montana,63,2009-02-28
Nebraska,28,2009-02-28
Nevada,39,2009-02-28
New Hampshire,34,2009-02-28
New Jersey,57,2009-02-28
New Mexico,40,2009-02-28
New York,48,2009-02-28
North Carolina,36,2009-02-28
North Dakota,0,2009-02-28
Ohio,39,2009-02-28
Oklahoma,18,2009-02-28
Oregon,65,2009-02-28
Pennsylvania,63,2009-02-28
Rhode Island,33,2009-02-28
South Carolina,66,2009-02-28
South Dakota,58,2009-02-28
Tennessee,64,2009-02-28
Texas,51,2009-02-28
Utah,72,2009-02-28
Vermont,77,2009-02-28
Virginia,40,2009-02-28
Washington,68,2009-02-28
West Virginia,0,2009-02-28
Wisconsin,34,2009-02-28
Wyoming,93,2009-02-28
Alabama,49,2009-03-31
Alaska,0,2009-03-31
Arizona,56,2009-03-31
Arkansas,42,2009-03-31
California,26,2009-03-31
Colorado,24,2009-03-31
Connecticut,89,2009-03-31
Delaware,62,2009-03-31
District of Columbia,37,2009-03-31
Florida,30,2009-03-31
Georgia,24,2009-03-31
Hawaii,24,2009-03-31
Idaho,0,2009-03-31
Illinois,38,2009-03-31
Indiana,33,2009-03-31
Iowa,35,2009-03-31
Kansas,13,2009-03-31
Kentucky,12,2009-03-31
Louisiana,71,2009-03-31
Maine,78,2009-03-31
Maryland,37,2009-03-31
Massachusetts,50,2009-03-31
Michigan,60,2009-03-31
Minnesota,27,2009-03-31
Mississippi,46,2009-03-31
Missouri,43,2009-03-31
Montana,100,2009-03-31
Nebraska,0,2009-03-31
Nevada,44,2009-03-31
New Hampshire,50,2009-03-31
New Jersey,29,2009-03-31
New Mexico,29,2009-03-31
New York,33,2009-03-31
North Carolina,31,2009-03-31
North Dakota,0,2009-03-31
Ohio,43,2009-03-31
Oklahoma,54,2009-03-31
Oregon,40,2009-03-31
Pennsylvania,29,2009-03-31
Rhode Island,75,2009-03-31
South Carolina,0,2009-03-31
South Dakota,44,2009-03-31
Tennessee,40,2009-03-31
Texas,19,2009-03-31
Utah,13,2009-03-31
Vermont,57,2009-03-31
Virginia,20,2009-03-31
Washington,28,2009-03-31
West Virginia,50,2009-03-31
Wisconsin,64,2009-03-31
Wyoming,70,2009-03-31
Alabama,22,2009-04-30
Alaska,0,2009-04-30
Arizona,46,2009-04-30
Arkansas,58,2009-04-30
California,24,2009-04-30
Colorado,18,2009-04-30
Connecticut,35,2009-04-30
Delaware,52,2009-04-30
District of Columbia,23,2009-04-30
Florida,28,2009-04-30
Georgia,21,2009-04-30
Hawaii,21,2009-04-30
Idaho,0,2009-04-30
Illinois,37,2009-04-30
Indiana,23,2009-04-30
Iowa,18,2009-04-30
Kansas,61,2009-04-30
Kentucky,32,2009-04-30
Louisiana,51,2009-04-30
Maine,68,2009-04-30
Maryland,27,2009-04-30
Massachusetts,47,2009-04-30
Michigan,38,2009-04-30
Minnesota,39,2009-04-30
Mississippi,0,2009-04-30
Missouri,48,2009-04-30
Montana,100,2009-04-30
Nebraska,57,2009-04-30
Nevada,25,2009-04-30
New Hampshire,22,2009-04-30
New Jersey,44,2009-04-30
New Mexico,0,2009-04-30
New York,27,2009-04-30
North Carolina,28,2009-04-30
North Dakota,0,2009-04-30
Ohio,30,2009-04-30
Oklahoma,25,2009-04-30
Oregon,43,2009-04-30
Pennsylvania,22,2009-04-30
Rhode Island,47,2009-04-30
South Carolina,45,2009-04-30
South Dakota,42,2009-04-30
Tennessee,74,2009-04-30
Texas,35,2009-04-30
Utah,0,2009-04-30
Vermont,53,2009-04-30
Virginia,14,2009-04-30
Washington,45,2009-04-30
West Virginia,0,2009-04-30
Wisconsin,23,2009-04-30
Wyoming,66,2009-04-30
Alabama,13,2009-05-31
Alaska,0,2009-05-31
Arizona,37,2009-05-31
Arkansas,47,2009-05-31
California,11,2009-05-31
Colorado,10,2009-05-31
Connecticut,28,2009-05-31
Delaware,33,2009-05-31
District of Columbia,23,2009-05-31
Florida,18,2009-05-31
Georgia,12,2009-05-31
Hawaii,37,2009-05-31
Idaho,0,2009-05-31
Illinois,16,2009-05-31
Indiana,9,2009-05-31
Iowa,0,2009-05-31
Kansas,43,2009-05-31
Kentucky,26,2009-05-31
Louisiana,18,2009-05-31
Maine,13,2009-05-31
Maryland,31,2009-05-31
Massachusetts,21,2009-05-31
Michigan,20,2009-05-31
Minnesota,26,2009-05-31
Mississippi,12,2009-05-31
Missouri,15,2009-05-31
Montana,29,2009-05-31
Nebraska,23,2009-05-31
Nevada,28,2009-05-31
New Hampshire,38,2009-05-31
New Jersey,22,2009-05-31
New Mexico,31,2009-05-31
New York,21,2009-05-31
North Carolina,18,2009-05-31
North Dakota,69,2009-05-31
Ohio,28,2009-05-31
Oklahoma,50,2009-05-31
Oregon,16,2009-05-31
Pennsylvania,20,2009-05-31
Rhode Island,28,2009-05-31
South Carolina,27,2009-05-31
South Dakota,100,2009-05-31
Tennessee,34,2009-05-31
Texas,15,2009-05-31
Utah,0,2009-05-31
Vermont,95,2009-05-31
Virginia,10,2009-05-31
Washington,26,2009-05-31
West Virginia,0,2009-05-31
Wisconsin,3,2009-05-31
Wyoming,0,2009-05-31
Alabama,15,2009-06-30
Alaska,49,2009-06-30
Arizona,19,2009-06-30
Arkansas,13,2009-06-30
California,20,2009-06-30
Colorado,38,2009-06-30
Connecticut,64,2009-06-30
Delaware,79,2009-06-30
District of Columbia,24,2009-06-30
Florida,31,2009-06-30
Georgia,30,2009-06-30
Hawaii,43,2009-06-30
Idaho,85,2009-06-30
Illinois,15,2009-06-30
Indiana,26,2009-06-30
Iowa,39,2009-06-30
Kansas,34,2009-06-30
Kentucky,37,2009-06-30
Louisiana,27,2009-06-30
Maine,31,2009-06-30
Maryland,8,2009-06-30
Massachusetts,24,2009-06-30
Michigan,45,2009-06-30
Minnesota,13,2009-06-30
Mississippi,14,2009-06-30
Missouri,20,2009-06-30
Montana,100,2009-06-30
Nebraska,55,2009-06-30
Nevada,33,2009-06-30
New Hampshire,31,2009-06-30
New Jersey,21,2009-06-30
New Mexico,36,2009-06-30
New York,22,2009-06-30
North Carolina,21,2009-06-30
North Dakota,43,2009-06-30
Ohio,32,2009-06-30
Oklahoma,50,2009-06-30
Oregon,5,2009-06-30
Pennsylvania,23,2009-06-30
Rhode Island,0,2009-06-30
South Carolina,63,2009-06-30
South Dakota,58,2009-06-30
Tennessee,29,2009-06-30
Texas,16,2009-06-30
Utah,27,2009-06-30
Vermont,37,2009-06-30
Virginia,10,2009-06-30
Washington,31,2009-06-30
West Virginia,36,2009-06-30
Wisconsin,16,2009-06-30
Wyoming,0,2009-06-30
Alabama,13,2009-07-31
Alaska,28,2009-07-31
Arizona,7,2009-07-31
Arkansas,24,2009-07-31
California,10,2009-07-31
Colorado,13,2009-07-31
Connecticut,15,2009-07-31
Delaware,24,2009-07-31
District of Columbia,11,2009-07-31
Florida,12,2009-07-31
Georgia,13,2009-07-31
Hawaii,8,2009-07-31
Idaho,67,2009-07-31
Illinois,20,2009-07-31
Indiana,25,2009-07-31
Iowa,30,2009-07-31
Kansas,26,2009-07-31
Kentucky,17,2009-07-31
Louisiana,32,2009-07-31
Maine,19,2009-07-31
Maryland,14,2009-07-31
Massachusetts,13,2009-07-31
Michigan,13,2009-07-31
Minnesota,18,2009-07-31
Mississippi,8,2009-07-31
Missouri,12,2009-07-31
Montana,100,2009-07-31
Nebraska,8,2009-07-31
Nevada,31,2009-07-31
New Hampshire,0,2009-07-31
New Jersey,15,2009-07-31
New Mexico,32,2009-07-31
New York,12,2009-07-31
North Carolina,16,2009-07-31
North Dakota,25,2009-07-31
Ohio,19,2009-07-31
Oklahoma,10,2009-07-31
Oregon,15,2009-07-31
Pennsylvania,19,2009-07-31
Rhode Island,42,2009-07-31
South Carolina,27,2009-07-31
South Dakota,0,2009-07-31
Tennessee,20,2009-07-31
Texas,14,2009-07-31
Utah,11,2009-07-31
Vermont,23,2009-07-31
Virginia,8,2009-07-31
Washington,23,2009-07-31
West Virginia,21,2009-07-31
Wisconsin,15,2009-07-31
Wyoming,0,2009-07-31
Alabama,18,2009-08-31
Alaska,30,2009-08-31
Arizona,23,2009-08-31
Arkansas,32,2009-08-31
California,26,2009-08-31
Colorado,20,2009-08-31
Connecticut,60,2009-08-31
Delaware,48,2009-08-31
District of Columbia,33,2009-08-31
Florida,27,2009-08-31
Georgia,34,2009-08-31
Hawaii,36,2009-08-31
Idaho,27,2009-08-31
Illinois,39,2009-08-31
Indiana,22,2009-08-31
Iowa,14,2009-08-31
Kansas,72,2009-08-31
Kentucky,17,2009-08-31
Louisiana,25,2009-08-31
Maine,19,2009-08-31
Maryland,58,2009-08-31
Massachusetts,42,2009-08-31
Michigan,22,2009-08-31
Minnesota,42,2009-08-31
Mississippi,0,2009-08-31
Missouri,39,2009-08-31
Montana,42,2009-08-31
Nebraska,49,2009-08-31
Nevada,53,2009-08-31
New Hampshire,38,2009-08-31
New Jersey,24,2009-08-31
New Mexico,22,2009-08-31
New York,23,2009-08-31
North Carolina,39,2009-08-31
North Dakota,0,2009-08-31
Ohio,29,2009-08-31
Oklahoma,20,2009-08-31
Oregon,44,2009-08-31
Pennsylvania,33,2009-08-31
Rhode Island,61,2009-08-31
South Carolina,10,2009-08-31
South Dakota,100,2009-08-31
Tennessee,18,2009-08-31
Texas,26,2009-08-31
Utah,42,2009-08-31
Vermont,86,2009-08-31
Virginia,16,2009-08-31
Washington,13,2009-08-31
West Virginia,77,2009-08-31
Wisconsin,35,2009-08-31
Wyoming,0,2009-08-31
Alabama,51,2009-09-30
Alaska,0,2009-09-30
Arizona,40,2009-09-30
Arkansas,54,2009-09-30
California,22,2009-09-30
Colorado,41,2009-09-30
Connecticut,33,2009-09-30
Delaware,0,2009-09-30
District of Columbia,29,2009-09-30
Florida,36,2009-09-30
Georgia,41,2009-09-30
Hawaii,100,2009-09-30
Idaho,31,2009-09-30
Illinois,25,2009-09-30
Indiana,22,2009-09-30
Iowa,31,2009-09-30
Kansas,11,2009-09-30
Kentucky,48,2009-09-30
Louisiana,37,2009-09-30
Maine,21,2009-09-30
Maryland,21,2009-09-30
Massachusetts,32,2009-09-30
Michigan,19,2009-09-30
Minnesota,18,2009-09-30
Mississippi,38,2009-09-30
Missouri,44,2009-09-30
Montana,94,2009-09-30
Nebraska,37,2009-09-30
Nevada,37,2009-09-30
New Hampshire,20,2009-09-30
New Jersey,26,2009-09-30
New Mexico,0,2009-09-30
New York,38,2009-09-30
North Carolina,25,2009-09-30
North Dakota,100,2009-09-30
Ohio,23,2009-09-30
Oklahoma,23,2009-09-30
Oregon,35,2009-09-30
Pennsylvania,27,2009-09-30
Rhode Island,22,2009-09-30
South Carolina,32,2009-09-30
South Dakota,36,2009-09-30
Tennessee,27,2009-09-30
Texas,40,2009-09-30
Utah,24,2009-09-30
Vermont,0,2009-09-30
Virginia,23,2009-09-30
Washington,17,2009-09-30
West Virginia,44,2009-09-30
Wisconsin,11,2009-09-30
Wyoming,67,2009-09-30
Alabama,44,2009-10-31
Alaska,70,2009-10-31
Arizona,42,2009-10-31
Arkansas,59,2009-10-31
California,15,2009-10-31
Colorado,49,2009-10-31
Connecticut,48,2009-10-31
Delaware,0,2009-10-31
District of Columbia,9,2009-10-31
Florida,22,2009-10-31
Georgia,22,2009-10-31
Hawaii,0,2009-10-31
Idaho,32,2009-10-31
Illinois,27,2009-10-31
Indiana,8,2009-10-31
Iowa,52,2009-10-31
Kansas,95,2009-10-31
Kentucky,20,2009-10-31
Louisiana,29,2009-10-31
Maine,86,2009-10-31
Maryland,34,2009-10-31
Massachusetts,18,2009-10-31
Michigan,51,2009-10-31
Minnesota,29,2009-10-31
Mississippi,0,2009-10-31
Missouri,70,2009-10-31
Montana,100,2009-10-31
Nebraska,39,2009-10-31
Nevada,25,2009-10-31
New Hampshire,86,2009-10-31
New Jersey,41,2009-10-31
New Mexico,54,2009-10-31
New York,30,2009-10-31
North Carolina,27,2009-10-31
North Dakota,54,2009-10-31
Ohio,36,2009-10-31
Oklahoma,12,2009-10-31
Oregon,28,2009-10-31
Pennsylvania,24,2009-10-31
Rhode Island,46,2009-10-31
South Carolina,11,2009-10-31
South Dakota,0,2009-10-31
Tennessee,21,2009-10-31
Texas,33,2009-10-31
Utah,13,2009-10-31
Vermont,28,2009-10-31
Virginia,14,2009-10-31
Washington,38,2009-10-31
West Virginia,0,2009-10-31
Wisconsin,18,2009-10-31
Wyoming,0,2009-10-31
Alabama,7,2009-11-30
Alaska,70,2009-11-30
Arizona,35,2009-11-30
Arkansas,0,2009-11-30
California,14,2009-11-30
Colorado,32,2009-11-30
Connecticut,37,2009-11-30
Delaware,40,2009-11-30
District of Columbia,24,2009-11-30
Florida,25,2009-11-30
Georgia,27,2009-11-30
Hawaii,57,2009-11-30
Idaho,21,2009-11-30
Illinois,20,2009-11-30
Indiana,11,2009-11-30
Iowa,0,2009-11-30
Kansas,48,2009-11-30
Kentucky,20,2009-11-30
Louisiana,26,2009-11-30
Maine,14,2009-11-30
Maryland,23,2009-11-30
Massachusetts,29,2009-11-30
Michigan,20,2009-11-30
Minnesota,23,2009-11-30
Mississippi,28,2009-11-30
Missouri,22,2009-11-30
Montana,66,2009-11-30
Nebraska,26,2009-11-30
Nevada,26,2009-11-30
New Hampshire,15,2009-11-30
New Jersey,16,2009-11-30
New Mexico,37,2009-11-30
New York,15,2009-11-30
North Carolina,18,2009-11-30
North Dakota,37,2009-11-30
Ohio,21,2009-11-30
Oklahoma,8,2009-11-30
Oregon,49,2009-11-30
Pennsylvania,23,2009-11-30
Rhode Island,47,2009-11-30
South Carolina,23,2009-11-30
South Dakota,50,2009-11-30
Tennessee,24,2009-11-30
Texas,15,2009-11-30
Utah,46,2009-11-30
Vermont,27,2009-11-30
Virginia,9,2009-11-30
Washington,26,2009-11-30
West Virginia,31,2009-11-30
Wisconsin,27,2009-11-30
Wyoming,100,2009-11-30
Alabama,38,2009-12-31
Alaska,100,2009-12-31
Arizona,36,2009-12-31
Arkansas,34,2009-12-31
California,18,2009-12-31
Colorado,36,2009-12-31
Connecticut,33,2009-12-31
Delaware,0,2009-12-31
District of Columbia,28,2009-12-31
Florida,22,2009-12-31
Georgia,26,2009-12-31
Hawaii,62,2009-12-31
Idaho,70,2009-12-31
Illinois,35,2009-12-31
Indiana,27,2009-12-31
Iowa,11,2009-12-31
Kansas,35,2009-12-31
Kentucky,17,2009-12-31
Louisiana,35,2009-12-31
Maine,37,2009-12-31
Maryland,33,2009-12-31
Massachusetts,25,2009-12-31
Michigan,41,2009-12-31
Minnesota,43,2009-12-31
Mississippi,36,2009-12-31
Missouri,28,2009-12-31
