geoName,Rent,year
Oregon,34,2009-01-31
Pennsylvania,50,2009-01-31
Rhode Island,34,2009-01-31
South Carolina,88,2009-01-31
South Dakota,11,2009-01-31
Tennessee,47,2009-01-31
Texas,56,2009-01-31
Utah,34,2009-01-31
Vermont,29,2009-01-31
Virginia,34,2009-01-31
Washington,51,2009-01-31
West Virginia,13,2009-01-31
Wisconsin,52,2009-01-31
Wyoming,52,2009-01-31
Alabama,63,2009-02-28
Alaska,35,2009-02-28
Arizona,77,2009-02-28
Arkansas,75,2009-02-28
California,46,2009-02-28
Colorado,77,2009-02-28
Connecticut,44,2009-02-28
Delaware,61,2009-02-28
District of Columbia,68,2009-02-28
Florida,100,2009-02-28
Georgia,72,2009-02-28
Hawaii,49,2009-02-28
Idaho,75,2009-02-28
Illinois,68,2009-02-28
Indiana,57,2009-02-28
Iowa,52,2009-02-28
Kansas,66,2009-02-28
Kentucky,74,2009-02-28
Louisiana,83,2009-02-28
Maine,57,2009-02-28
Maryland,52,2009-02-28
Massachusetts,49,2009-02-28
Michigan,62,2009-02-28
Minnesota,57,2009-02-28
Mississippi,85,2009-02-28
Missouri,70,2009-02-28
Montana,61,2009-02-28
Nebraska,51,2009-02-28
Nevada,90,2009-02-28
New Hampshire,48,2009-02-28
New Jersey,56,2009-02-28
New Mexico,69,2009-02-28
New York,51,2009-02-28
North Carolina,73,2009-02-28
North Dakota,51,2009-02-28
Ohio,51,2009-02-28
Oklahoma,77,2009-02-28
Oregon,51,2009-02-28
Pennsylvania,48,2009-02-28
Rhode Island,57,2009-02-28
South Carolina,80,2009-02-28
South Dakota,91,2009-02-28
Tennessee,72,2009-02-28
Texas,76,2009-02-28
Utah,61,2009-02-28
Vermont,36,2009-02-28
Virginia,40,2009-02-28
Washington,53,2009-02-28
West Virginia,80,2009-02-28
Wisconsin,47,2009-02-28
Wyoming,53,2009-02-28
Alabama,89,2009-03-31
Alaska,44,2009-03-31
Arizona,69,2009-03-31
Arkansas,72,2009-03-31
California,50,2009-03-31
Colorado,60,2009-03-31
Connecticut,53,2009-03-31
Delaware,23,2009-03-31
District of Columbia,67,2009-03-31
Florida,100,2009-03-31
Georgia,81,2009-03-31
Hawaii,30,2009-03-31
Idaho,44,2009-03-31
Illinois,58,2009-03-31
Indiana,56,2009-03-31
Iowa,48,2009-03-31
Kansas,59,2009-03-31
Kentucky,62,2009-03-31
Louisiana,65,2009-03-31
Maine,46,2009-03-31
Maryland,71,2009-03-31
Massachusetts,43,2009-03-31
Michigan,54,2009-03-31
Minnesota,56,2009-03-31
Mississippi,85,2009-03-31
Missouri,67,2009-03-31
Montana,26,2009-03-31
Nebraska,62,2009-03-31
Nevada,91,2009-03-31
New Hampshire,45,2009-03-31
New Jersey,55,2009-03-31
New Mexico,75,2009-03-31
New York,51,2009-03-31
North Carolina,75,2009-03-31
North Dakota,50,2009-03-31
Ohio,58,2009-03-31
Oklahoma,85,2009-03-31
Oregon,51,2009-03-31
Pennsylvania,48,2009-03-31
Rhode Island,51,2009-03-31
South Carolina,75,2009-03-31
South Dakota,56,2009-03-31
Tennessee,55,2009-03-31
Texas,65,2009-03-31
Utah,61,2009-03-31
Vermont,43,2009-03-31
Virginia,37,2009-03-31
Washington,67,2009-03-31
West Virginia,25,2009-03-31
Wisconsin,57,2009-03-31
Wyoming,44,2009-03-31
Alabama,64,2009-04-30
Alaska,38,2009-04-30
Arizona,68,2009-04-30
Arkansas,52,2009-04-30
California,45,2009-04-30
Colorado,66,2009-04-30
Connecticut,44,2009-04-30
Delaware,53,2009-04-30
District of Columbia,54,2009-04-30
Florida,86,2009-04-30
Georgia,72,2009-04-30
Hawaii,35,2009-04-30
Idaho,33,2009-04-30
Illinois,54,2009-04-30
Indiana,40,2009-04-30
Iowa,38,2009-04-30
Kansas,79,2009-04-30
Kentucky,70,2009-04-30
Louisiana,72,2009-04-30
Maine,38,2009-04-30
Maryland,68,2009-04-30
Massachusetts,46,2009-04-30
Michigan,65,2009-04-30
Minnesota,46,2009-04-30
Mississippi,100,2009-04-30
Missouri,54,2009-04-30
Montana,70,2009-04-30
Nebraska,54,2009-04-30
Nevada,69,2009-04-30
New Hampshire,37,2009-04-30
New Jersey,50,2009-04-30
New Mexico,87,2009-04-30
New York,51,2009-04-30
North Carolina,79,2009-04-30
North Dakota,69,2009-04-30
Ohio,59,2009-04-30
Oklahoma,72,2009-04-30
Oregon,49,2009-04-30
Pennsylvania,49,2009-04-30
Rhode Island,52,2009-04-30
South Carolina,80,2009-04-30
South Dakota,49,2009-04-30
Tennessee,65,2009-04-30
Texas,60,2009-04-30
Utah,46,2009-04-30
Vermont,34,2009-04-30
Virginia,37,2009-04-30
Washington,56,2009-04-30
West Virginia,56,2009-04-30
Wisconsin,53,2009-04-30
Wyoming,34,2009-04-30
Alabama,74,2009-05-31
Alaska,65,2009-05-31
Arizona,71,2009-05-31
Arkansas,92,2009-05-31
California,43,2009-05-31
Colorado,68,2009-05-31
Connecticut,56,2009-05-31
Delaware,59,2009-05-31
District of Columbia,49,2009-05-31
Florida,94,2009-05-31
Georgia,72,2009-05-31
Hawaii,54,2009-05-31
Idaho,69,2009-05-31
Illinois,49,2009-05-31
Indiana,44,2009-05-31
Iowa,32,2009-05-31
Kansas,55,2009-05-31
Kentucky,51,2009-05-31
Louisiana,67,2009-05-31
Maine,46,2009-05-31
Maryland,59,2009-05-31
Massachusetts,55,2009-05-31
Michigan,57,2009-05-31
Minnesota,58,2009-05-31
Mississippi,100,2009-05-31
Missouri,62,2009-05-31
Montana,59,2009-05-31
Nebraska,41,2009-05-31
Nevada,88,2009-05-31
New Hampshire,51,2009-05-31
New Jersey,53,2009-05-31
New Mexico,88,2009-05-31
New York,46,2009-05-31
North Carolina,68,2009-05-31
North Dakota,77,2009-05-31
Ohio,61,2009-05-31
Oklahoma,89,2009-05-31
Oregon,52,2009-05-31
Pennsylvania,42,2009-05-31
Rhode Island,54,2009-05-31
South Carolina,72,2009-05-31
South Dakota,45,2009-05-31
Tennessee,69,2009-05-31
Texas,68,2009-05-31
Utah,55,2009-05-31
Vermont,42,2009-05-31
Virginia,32,2009-05-31
Washington,46,2009-05-31
West Virginia,41,2009-05-31
Wisconsin,46,2009-05-31
Wyoming,47,2009-05-31
Alabama,72,2009-06-30
Alaska,76,2009-06-30
Arizona,77,2009-06-30
Arkansas,62,2009-06-30
California,46,2009-06-30
Colorado,59,2009-06-30
Connecticut,52,2009-06-30
Delaware,67,2009-06-30
District of Columbia,49,2009-06-30
Florida,87,2009-06-30
Georgia,73,2009-06-30
Hawaii,55,2009-06-30
Idaho,67,2009-06-30
Illinois,55,2009-06-30
Indiana,57,2009-06-30
Iowa,29,2009-06-30
Kansas,54,2009-06-30
Kentucky,63,2009-06-30
Louisiana,60,2009-06-30
Maine,58,2009-06-30
Maryland,71,2009-06-30
Massachusetts,50,2009-06-30
Michigan,56,2009-06-30
Minnesota,58,2009-06-30
Mississippi,57,2009-06-30
Missouri,59,2009-06-30
Montana,43,2009-06-30
Nebraska,52,2009-06-30
Nevada,100,2009-06-30
New Hampshire,31,2009-06-30
New Jersey,64,2009-06-30
New Mexico,94,2009-06-30
New York,49,2009-06-30
North Carolina,65,2009-06-30
North Dakota,47,2009-06-30
Ohio,60,2009-06-30
Oklahoma,76,2009-06-30
Oregon,46,2009-06-30
Pennsylvania,47,2009-06-30
Rhode Island,35,2009-06-30
South Carolina,79,2009-06-30
South Dakota,48,2009-06-30
Tennessee,65,2009-06-30
Texas,71,2009-06-30
Utah,46,2009-06-30
Vermont,41,2009-06-30
Virginia,35,2009-06-30
Washington,55,2009-06-30
West Virginia,93,2009-06-30
Wisconsin,56,2009-06-30
Wyoming,26,2009-06-30
Alabama,61,2009-07-31
Alaska,34,2009-07-31
Arizona,61,2009-07-31
Arkansas,69,2009-07-31
California,37,2009-07-31
Colorado,52,2009-07-31
Connecticut,42,2009-07-31
Delaware,97,2009-07-31
District of Columbia,40,2009-07-31
Florida,72,2009-07-31
Georgia,69,2009-07-31
Hawaii,38,2009-07-31
Idaho,74,2009-07-31
Illinois,50,2009-07-31
Indiana,52,2009-07-31
Iowa,31,2009-07-31
Kansas,51,2009-07-31
Kentucky,38,2009-07-31
Louisiana,44,2009-07-31
Maine,33,2009-07-31
Maryland,48,2009-07-31
Massachusetts,42,2009-07-31
Michigan,48,2009-07-31
Minnesota,40,2009-07-31
Mississippi,49,2009-07-31
Missouri,57,2009-07-31
Montana,53,2009-07-31
Nebraska,32,2009-07-31
Nevada,66,2009-07-31
New Hampshire,50,2009-07-31
New Jersey,53,2009-07-31
New Mexico,40,2009-07-31
New York,45,2009-07-31
North Carolina,50,2009-07-31
North Dakota,20,2009-07-31
Ohio,51,2009-07-31
Oklahoma,54,2009-07-31
Oregon,31,2009-07-31
Pennsylvania,49,2009-07-31
Rhode Island,22,2009-07-31
South Carolina,64,2009-07-31
South Dakota,27,2009-07-31
Tennessee,53,2009-07-31
Texas,52,2009-07-31
Utah,53,2009-07-31
Vermont,19,2009-07-31
Virginia,29,2009-07-31
Washington,50,2009-07-31
West Virginia,40,2009-07-31
Wisconsin,38,2009-07-31
Wyoming,100,2009-07-31
Alabama,52,2009-08-31
Alaska,48,2009-08-31
Arizona,75,2009-08-31
Arkansas,42,2009-08-31
California,48,2009-08-31
Colorado,60,2009-08-31
Connecticut,57,2009-08-31
Delaware,91,2009-08-31
District of Columbia,64,2009-08-31
Florida,100,2009-08-31
Georgia,87,2009-08-31
Hawaii,40,2009-08-31
Idaho,47,2009-08-31
Illinois,70,2009-08-31
Indiana,68,2009-08-31
Iowa,35,2009-08-31
Kansas,69,2009-08-31
Kentucky,72,2009-08-31
Louisiana,68,2009-08-31
Maine,51,2009-08-31
Maryland,57,2009-08-31
Massachusetts,50,2009-08-31
Michigan,59,2009-08-31
Minnesota,69,2009-08-31
Mississippi,79,2009-08-31
Missouri,68,2009-08-31
Montana,44,2009-08-31
Nebraska,40,2009-08-31
Nevada,90,2009-08-31
New Hampshire,26,2009-08-31
New Jersey,59,2009-08-31
New Mexico,55,2009-08-31
New York,52,2009-08-31
North Carolina,72,2009-08-31
North Dakota,48,2009-08-31
Ohio,62,2009-08-31
Oklahoma,68,2009-08-31
Oregon,63,2009-08-31
Pennsylvania,68,2009-08-31
Rhode Island,35,2009-08-31
South Carolina,72,2009-08-31
South Dakota,82,2009-08-31
Tennessee,67,2009-08-31
Texas,71,2009-08-31
Utah,53,2009-08-31
Vermont,45,2009-08-31
Virginia,35,2009-08-31
Washington,71,2009-08-31
West Virginia,48,2009-08-31
Wisconsin,52,2009-08-31
Wyoming,20,2009-08-31
Alabama,61,2009-09-30
Alaska,45,2009-09-30
Arizona,80,2009-09-30
Arkansas,65,2009-09-30
California,47,2009-09-30
Colorado,65,2009-09-30
Connecticut,51,2009-09-30
Delaware,70,2009-09-30
District of Columbia,55,2009-09-30
Florida,100,2009-09-30
Georgia,73,2009-09-30
Hawaii,51,2009-09-30
Idaho,77,2009-09-30
Illinois,59,2009-09-30
Indiana,60,2009-09-30
Iowa,39,2009-09-30
Kansas,51,2009-09-30
Kentucky,66,2009-09-30
Louisiana,56,2009-09-30
Maine,47,2009-09-30
Maryland,54,2009-09-30
Massachusetts,38,2009-09-30
Michigan,56,2009-09-30
Minnesota,54,2009-09-30
Mississippi,51,2009-09-30
Missouri,65,2009-09-30
Montana,28,2009-09-30
Nebraska,22,2009-09-30
Nevada,80,2009-09-30
New Hampshire,49,2009-09-30
New Jersey,68,2009-09-30
New Mexico,67,2009-09-30
New York,53,2009-09-30
North Carolina,69,2009-09-30
North Dakota,59,2009-09-30
Ohio,56,2009-09-30
Oklahoma,48,2009-09-30
Oregon,64,2009-09-30
Pennsylvania,50,2009-09-30
Rhode Island,32,2009-09-30
South Carolina,81,2009-09-30
South Dakota,43,2009-09-30
Tennessee,73,2009-09-30
Texas,58,2009-09-30
Utah,52,2009-09-30
Vermont,35,2009-09-30
Virginia,31,2009-09-30
Washington,51,2009-09-30
West Virginia,45,2009-09-30
Wisconsin,38,2009-09-30
Wyoming,10,2009-09-30
Alabama,66,2009-10-31
Alaska,66,2009-10-31
Arizona,81,2009-10-31
Arkansas,64,2009-10-31
California,46,2009-10-31
Colorado,78,2009-10-31
Connecticut,67,2009-10-31
Delaware,77,2009-10-31
District of Columbia,57,2009-10-31
Florida,100,2009-10-31
Georgia,80,2009-10-31
Hawaii,50,2009-10-31
Idaho,44,2009-10-31
Illinois,57,2009-10-31
Indiana,63,2009-10-31
Iowa,41,2009-10-31
Kansas,71,2009-10-31
Kentucky,43,2009-10-31
Louisiana,79,2009-10-31
Maine,55,2009-10-31
Maryland,66,2009-10-31
Massachusetts,52,2009-10-31
Michigan,52,2009-10-31
Minnesota,59,2009-10-31
Mississippi,93,2009-10-31
Missouri,66,2009-10-31
Montana,61,2009-10-31
Nebraska,57,2009-10-31
Nevada,99,2009-10-31
New Hampshire,48,2009-10-31
New Jersey,61,2009-10-31
New Mexico,73,2009-10-31
New York,53,2009-10-31
North Carolina,85,2009-10-31
North Dakota,47,2009-10-31
Ohio,53,2009-10-31
Oklahoma,71,2009-10-31
Oregon,43,2009-10-31
Pennsylvania,55,2009-10-31
Rhode Island,67,2009-10-31
South Carolina,81,2009-10-31
South Dakota,51,2009-10-31
Tennessee,49,2009-10-31
Texas,65,2009-10-31
Utah,74,2009-10-31
Vermont,53,2009-10-31
Virginia,30,2009-10-31
Washington,65,2009-10-31
West Virginia,40,2009-10-31
Wisconsin,33,2009-10-31
Wyoming,76,2009-10-31
Alabama,66,2009-11-30
Alaska,61,2009-11-30
Arizona,91,2009-11-30
Arkansas,72,2009-11-30
California,40,2009-11-30
Colorado,55,2009-11-30
Connecticut,48,2009-11-30
Delaware,100,2009-11-30
District of Columbia,49,2009-11-30
Florida,88,2009-11-30
Georgia,67,2009-11-30
Hawaii,34,2009-11-30
Idaho,44,2009-11-30
Illinois,53,2009-11-30
Indiana,58,2009-11-30
Iowa,25,2009-11-30
Kansas,63,2009-11-30
Kentucky,54,2009-11-30
Louisiana,66,2009-11-30
Maine,28,2009-11-30
Maryland,55,2009-11-30
Massachusetts,37,2009-11-30
Michigan,56,2009-11-30
Minnesota,48,2009-11-30
Mississippi,62,2009-11-30
Missouri,62,2009-11-30
Montana,42,2009-11-30
Nebraska,33,2009-11-30
Nevada,77,2009-11-30
New Hampshire,41,2009-11-30
New Jersey,60,2009-11-30
New Mexico,63,2009-11-30
New York,49,2009-11-30
North Carolina,68,2009-11-30
North Dakota,8,2009-11-30
Ohio,47,2009-11-30
Oklahoma,51,2009-11-30
Oregon,46,2009-11-30
Pennsylvania,42,2009-11-30
Rhode Island,47,2009-11-30
South Carolina,88,2009-11-30
South Dakota,47,2009-11-30
Tennessee,52,2009-11-30
Texas,56,2009-11-30
Utah,47,2009-11-30
Vermont,34,2009-11-30
Virginia,31,2009-11-30
Washington,50,2009-11-30
West Virginia,60,2009-11-30
Wisconsin,36,2009-11-30
Wyoming,11,2009-11-30
Alabama,77,2009-12-31
Alaska,36,2009-12-31
Arizona,87,2009-12-31
Arkansas,74,2009-12-31
California,45,2009-12-31
Colorado,69,2009-12-31
Connecticut,51,2009-12-31
Delaware,62,2009-12-31
District of Columbia,56,2009-12-31
Florida,100,2009-12-31
Georgia,81,2009-12-31
Hawaii,36,2009-12-31
Idaho,27,2009-12-31
Illinois,53,2009-12-31
Indiana,64,2009-12-31
Iowa,46,2009-12-31
Kansas,58,2009-12-31
Kentucky,69,2009-12-31
Louisiana,59,2009-12-31
Maine,49,2009-12-31
Maryland,61,2009-12-31
Massachusetts,49,2009-12-31
Michigan,72,2009-12-31
Minnesota,62,2009-12-31
Mississippi,71,2009-12-31
Missouri,71,2009-12-31
Montana,57,2009-12-31
Nebraska,51,2009-12-31
Nevada,88,2009-12-31
New Hampshire,46,2009-12-31
New Jersey,66,2009-12-31
New Mexico,77,2009-12-31
New York,56,2009-12-31
North Carolina,81,2009-12-31
North Dakota,26,2009-12-31
Ohio,55,2009-12-31
Oklahoma,63,2009-12-31
Oregon,53,2009-12-31
Pennsylvania,51,2009-12-31
Rhode Island,66,2009-12-31
South Carolina,78,2009-12-31
South Dakota,56,2009-12-31
Tennessee,76,2009-12-31
Texas,65,2009-12-31
Utah,49,2009-12-31
Vermont,26,2009-12-31
Virginia,35,2009-12-31
Washington,65,2009-12-31
West Virginia,64,2009-12-31
Wisconsin,47,2009-12-31
Wyoming,25,2009-12-31
Alabama,70,2010-01-31
Alaska,55,2010-01-31
Arizona,87,2010-01-31
Arkansas,61,2010-01-31
California,43,2010-01-31
Colorado,70,2010-01-31
Connecticut,56,2010-01-31
Delaware,48,2010-01-31
District of Columbia,62,2010-01-31
Florida,100,2010-01-31
Georgia,65,2010-01-31
Hawaii,51,2010-01-31
Idaho,82,2010-01-31
Illinois,62,2010-01-31
Indiana,49,2010-01-31
Iowa,57,2010-01-31
Kansas,66,2010-01-31
Kentucky,62,2010-01-31
Louisiana,78,2010-01-31
Maine,40,2010-01-31
Maryland,56,2010-01-31
Massachusetts,53,2010-01-31
Michigan,58,2010-01-31
Minnesota,56,2010-01-31
Mississippi,97,2010-01-31
Missouri,64,2010-01-31
Montana,46,2010-01-31
Nebraska,67,2010-01-31
Nevada,100,2010-01-31
New Hampshire,43,2010-01-31
New Jersey,65,2010-01-31
New Mexico,62,2010-01-31
New York,52,2010-01-31
North Carolina,70,2010-01-31
North Dakota,39,2010-01-31
Ohio,54,2010-01-31
Oklahoma,68,2010-01-31
Oregon,46,2010-01-31
Pennsylvania,54,2010-01-31
Rhode Island,49,2010-01-31
South Carolina,90,2010-01-31
South Dakota,45,2010-01-31
Tennessee,70,2010-01-31
Texas,61,2010-01-31
Utah,48,2010-01-31
Vermont,23,2010-01-31
Virginia,33,2010-01-31
Washington,54,2010-01-31
West Virginia,50,2010-01-31
Wisconsin,60,2010-01-31
Wyoming,88,2010-01-31
Alabama,55,2010-02-28
Alaska,31,2010-02-28
Arizona,89,2010-02-28
Arkansas,67,2010-02-28
California,43,2010-02-28
Colorado,75,2010-02-28
Connecticut,60,2010-02-28
Delaware,53,2010-02-28
District of Columbia,67,2010-02-28
Florida,96,2010-02-28
Georgia,71,2010-02-28
Hawaii,52,2010-02-28
Idaho,82,2010-02-28
Illinois,66,2010-02-28
Indiana,59,2010-02-28
Iowa,55,2010-02-28
Kansas,51,2010-02-28
Kentucky,55,2010-02-28
Louisiana,70,2010-02-28
Maine,51,2010-02-28
Maryland,65,2010-02-28
Massachusetts,50,2010-02-28
Michigan,60,2010-02-28
Minnesota,65,2010-02-28
Mississippi,100,2010-02-28
Missouri,69,2010-02-28
Montana,89,2010-02-28
Nebraska,69,2010-02-28
Nevada,79,2010-02-28
New Hampshire,35,2010-02-28
New Jersey,72,2010-02-28
New Mexico,78,2010-02-28
New York,55,2010-02-28
North Carolina,73,2010-02-28
North Dakota,83,2010-02-28
Ohio,63,2010-02-28
Oklahoma,55,2010-02-28
Oregon,45,2010-02-28
Pennsylvania,55,2010-02-28
Rhode Island,65,2010-02-28
South Carolina,77,2010-02-28
South Dakota,46,2010-02-28
Tennessee,69,2010-02-28
Texas,66,2010-02-28
Utah,51,2010-02-28
Vermont,35,2010-02-28
Virginia,32,2010-02-28
Washington,56,2010-02-28
West Virginia,68,2010-02-28
Wisconsin,52,2010-02-28
Wyoming,92,2010-02-28
Alabama,65,2010-03-31
Alaska,56,2010-03-31
Arizona,88,2010-03-31
Arkansas,46,2010-03-31
California,42,2010-03-31
Colorado,77,2010-03-31
Connecticut,48,2010-03-31
Delaware,52,2010-03-31
District of Columbia,55,2010-03-31
Florida,100,2010-03-31
Georgia,79,2010-03-31
Hawaii,39,2010-03-31
Idaho,37,2010-03-31
Illinois,60,2010-03-31
Indiana,48,2010-03-31
Iowa,38,2010-03-31
Kansas,73,2010-03-31
Kentucky,75,2010-03-31
Louisiana,78,2010-03-31
Maine,57,2010-03-31
Maryland,56,2010-03-31
Massachusetts,49,2010-03-31
Michigan,72,2010-03-31
Minnesota,70,2010-03-31
Mississippi,61,2010-03-31
Missouri,77,2010-03-31
Montana,63,2010-03-31
Nebraska,44,2010-03-31
Nevada,92,2010-03-31
New Hampshire,36,2010-03-31
New Jersey,73,2010-03-31
New Mexico,67,2010-03-31
New York,55,2010-03-31
North Carolina,71,2010-03-31
North Dakota,68,2010-03-31
Ohio,61,2010-03-31
Oklahoma,85,2010-03-31
Oregon,54,2010-03-31
Pennsylvania,51,2010-03-31
Rhode Island,43,2010-03-31
South Carolina,76,2010-03-31
South Dakota,18,2010-03-31
Tennessee,72,2010-03-31
Texas,62,2010-03-31
Utah,56,2010-03-31
Vermont,49,2010-03-31
Virginia,31,2010-03-31
Washington,70,2010-03-31
West Virginia,54,2010-03-31
Wisconsin,53,2010-03-31
Wyoming,62,2010-03-31
Alabama,64,2010-04-30
Alaska,41,2010-04-30
Arizona,95,2010-04-30
Arkansas,79,2010-04-30
California,43,2010-04-30
Colorado,79,2010-04-30
Connecticut,66,2010-04-30
Delaware,71,2010-04-30
District of Columbia,77,2010-04-30
Florida,100,2010-04-30
Georgia,80,2010-04-30
Hawaii,42,2010-04-30
Idaho,81,2010-04-30
Illinois,70,2010-04-30
Indiana,59,2010-04-30
Iowa,44,2010-04-30
Kansas,70,2010-04-30
Kentucky,74,2010-04-30
Louisiana,83,2010-04-30
Maine,35,2010-04-30
Maryland,79,2010-04-30
Massachusetts,60,2010-04-30
Michigan,69,2010-04-30
Minnesota,58,2010-04-30
Mississippi,84,2010-04-30
Missouri,75,2010-04-30
Montana,59,2010-04-30
Nebraska,54,2010-04-30
Nevada,100,2010-04-30
New Hampshire,51,2010-04-30
New Jersey,76,2010-04-30
New Mexico,52,2010-04-30
New York,53,2010-04-30
North Carolina,79,2010-04-30
North Dakota,28,2010-04-30
Ohio,67,2010-04-30
Oklahoma,69,2010-04-30
Oregon,53,2010-04-30
Pennsylvania,56,2010-04-30
Rhode Island,63,2010-04-30
South Carolina,84,2010-04-30
South Dakota,70,2010-04-30
Tennessee,78,2010-04-30
Texas,70,2010-04-30
Utah,39,2010-04-30
Vermont,35,2010-04-30
Virginia,31,2010-04-30
Washington,67,2010-04-30
West Virginia,37,2010-04-30
Wisconsin,46,2010-04-30
Wyoming,49,2010-04-30
Alabama,70,2010-05-31
Alaska,56,2010-05-31
Arizona,97,2010-05-31
Arkansas,55,2010-05-31
California,43,2010-05-31
Colorado,70,2010-05-31
Connecticut,56,2010-05-31
Delaware,63,2010-05-31
District of Columbia,51,2010-05-31
Florida,100,2010-05-31
Georgia,72,2010-05-31
Hawaii,51,2010-05-31
Idaho,66,2010-05-31
Illinois,57,2010-05-31
Indiana,57,2010-05-31
Iowa,24,2010-05-31
Kansas,74,2010-05-31
Kentucky,65,2010-05-31
Louisiana,82,2010-05-31
Maine,47,2010-05-31
Maryland,68,2010-05-31
Massachusetts,50,2010-05-31
Michigan,72,2010-05-31
Minnesota,59,2010-05-31
Mississippi,59,2010-05-31
Missouri,71,2010-05-31
Montana,57,2010-05-31
Nebraska,49,2010-05-31
Nevada,85,2010-05-31
New Hampshire,60,2010-05-31
New Jersey,62,2010-05-31
New Mexico,68,2010-05-31
New York,52,2010-05-31
North Carolina,75,2010-05-31
North Dakota,50,2010-05-31
Ohio,55,2010-05-31
Oklahoma,76,2010-05-31
Oregon,40,2010-05-31
Pennsylvania,59,2010-05-31
Rhode Island,63,2010-05-31
South Carolina,62,2010-05-31
South Dakota,66,2010-05-31
Tennessee,62,2010-05-31
Texas,60,2010-05-31
Utah,54,2010-05-31
Vermont,43,2010-05-31
Virginia,30,2010-05-31
Washington,64,2010-05-31
West Virginia,53,2010-05-31
Wisconsin,54,2010-05-31
Wyoming,0,2010-05-31
Alabama,52,2010-06-30
Alaska,51,2010-06-30
Arizona,90,2010-06-30
Arkansas,82,2010-06-30
California,40,2010-06-30
Colorado,75,2010-06-30
Connecticut,52,2010-06-30
Delaware,41,2010-06-30
District of Columbia,47,2010-06-30
Florida,100,2010-06-30
Georgia,73,2010-06-30
Hawaii,46,2010-06-30
Idaho,42,2010-06-30
Illinois,55,2010-06-30
Indiana,49,2010-06-30
Iowa,37,2010-06-30
Kansas,55,2010-06-30
Kentucky,64,2010-06-30
Louisiana,66,2010-06-30
Maine,33,2010-06-30
Maryland,60,2010-06-30
Massachusetts,48,2010-06-30
Michigan,72,2010-06-30
Minnesota,58,2010-06-30
Mississippi,71,2010-06-30
Missouri,64,2010-06-30
Montana,92,2010-06-30
Nebraska,48,2010-06-30
Nevada,93,2010-06-30
New Hampshire,59,2010-06-30
New Jersey,64,2010-06-30
New Mexico,53,2010-06-30
New York,54,2010-06-30
North Carolina,75,2010-06-30
North Dakota,57,2010-06-30
Ohio,62,2010-06-30
Oklahoma,71,2010-06-30
Oregon,41,2010-06-30
Pennsylvania,58,2010-06-30
Rhode Island,64,2010-06-30
South Carolina,65,2010-06-30
South Dakota,60,2010-06-30
Tennessee,63,2010-06-30
Texas,59,2010-06-30
Utah,47,2010-06-30
Vermont,37,2010-06-30
Virginia,30,2010-06-30
Washington,55,2010-06-30
West Virginia,62,2010-06-30
Wisconsin,62,2010-06-30
Wyoming,74,2010-06-30
Alabama,69,2010-07-31
Alaska,69,2010-07-31
Arizona,99,2010-07-31
Arkansas,73,2010-07-31
California,45,2010-07-31
Colorado,79,2010-07-31
Connecticut,64,2010-07-31
Delaware,39,2010-07-31
District of Columbia,73,2010-07-31
Florida,100,2010-07-31
Georgia,78,2010-07-31
Hawaii,75,2010-07-31
Idaho,61,2010-07-31
Illinois,62,2010-07-31
Indiana,53,2010-07-31
Iowa,26,2010-07-31
Kansas,77,2010-07-31
Kentucky,54,2010-07-31
Louisiana,55,2010-07-31
Maine,44,2010-07-31
Maryland,78,2010-07-31
Massachusetts,53,2010-07-31
Michigan,70,2010-07-31
Minnesota,61,2010-07-31
Mississippi,51,2010-07-31
Missouri,50,2010-07-31
Montana,48,2010-07-31
Nebraska,42,2010-07-31
Nevada,86,2010-07-31
New Hampshire,69,2010-07-31
New Jersey,75,2010-07-31
New Mexico,70,2010-07-31
New York,61,2010-07-31
North Carolina,78,2010-07-31
North Dakota,76,2010-07-31
Ohio,61,2010-07-31
Oklahoma,72,2010-07-31
Oregon,60,2010-07-31
Pennsylvania,78,2010-07-31
Rhode Island,47,2010-07-31
South Carolina,83,2010-07-31
South Dakota,30,2010-07-31
Tennessee,87,2010-07-31
Texas,65,2010-07-31
Utah,56,2010-07-31
Vermont,38,2010-07-31
Virginia,34,2010-07-31
Washington,66,2010-07-31
West Virginia,86,2010-07-31
Wisconsin,53,2010-07-31
Wyoming,51,2010-07-31
Alabama,84,2010-08-31
Alaska,29,2010-08-31
Arizona,90,2010-08-31
Arkansas,63,2010-08-31
California,40,2010-08-31
Colorado,59,2010-08-31
Connecticut,60,2010-08-31
Delaware,82,2010-08-31
District of Columbia,53,2010-08-31
Florida,100,2010-08-31
Georgia,73,2010-08-31
Hawaii,49,2010-08-31
Idaho,72,2010-08-31
Illinois,58,2010-08-31
Indiana,39,2010-08-31
Iowa,49,2010-08-31
Kansas,59,2010-08-31
Kentucky,74,2010-08-31
Louisiana,61,2010-08-31
Maine,24,2010-08-31
Maryland,75,2010-08-31
Massachusetts,44,2010-08-31
Michigan,66,2010-08-31
Minnesota,49,2010-08-31
Mississippi,59,2010-08-31
Missouri,65,2010-08-31
Montana,46,2010-08-31
Nebraska,37,2010-08-31
Nevada,98,2010-08-31
New Hampshire,47,2010-08-31
New Jersey,79,2010-08-31
New Mexico,68,2010-08-31
New York,48,2010-08-31
North Carolina,72,2010-08-31
North Dakota,7,2010-08-31
Ohio,57,2010-08-31
Oklahoma,55,2010-08-31
Oregon,55,2010-08-31
